 Name, Phone, Email
 3J ENGINEERING SOLUTIONS DMCC, , 
 3MY FOODSTUFF TRADING L.L.C. (DMCC BRANCH),+971504597774,burhan@3my.ae
 4 SPACE MANAGEMENT DMCC,+97144385537,firas@4space.ae
 42 INTERNATIONAL DMCC, , 
 4C INTERNATIONAL DMCC, , 
 4E CONSULTANCY AND CONSTRUCTION SERVICES DMCC, , 
 4I ADVISORY AND CONSULTING DMCC, , 
 4PM CONSULTING DMCC, , 
 4S DENTAL LABORATORY DMCC,+97144562950,dentallab4s@outlook.com
 4SIGHT BUSINESS CONSULTING DMCC, , 
 4SIGHT DRIVE DMCC, , 
 4SIGHT PLUS DMCC, , 
 4SIGHT RESEARCH &amp; ANALYTICS DMCC, , 
 4T COMMODITIES &amp; EMERGING MARKETS DMCC, , 
 50 NORTH AGRO DMCC, , 
 51 PEG TECHNOLOGIES DMCC, , 
 5TH CONSULTING DMCC, , 
 66 GROUP DMCC, , 
 7 BROS DMCC,+97144458378,7brosdmcc@gmail.com
 73 CO DMCC, , 
 748 AIR SERVICES DMCC, , 
 777 DIAMOND DMCC, , 
 777 RENT A CAR DMCC,+971509729407,afkar_hassan2010@hotmail.com
 7CLICK NETWORK DMCC, , 
 7HEAVEN TECHNOLOGY DMCC,+97144356198,javed.a@7heaventech.com
 7PQRS DMCC,+971588631656,tigas.catherine@ymail.com
 7TICKETS DMCC,+971501002473,feras@7tickets.com
 8 POINT MEDIA DMCC,+97143998158,sam@8pointmedia.com
 800 MEAT DMCC,+971506400204,fb-800meat@hotmail.com
 800DOCTOR DMCC, , 
 800TICKETS DMCC,+9718008425387,legal@itp.com
 818 VAULT DMCC, , 
 8LABS GROUP COMMERCIAL BROKERS DMCC, , 
 8LANG DMCC, , 
 A &amp; A AVIATION TRADING DMCC, , 
 A &amp; A EXCELLENCE TRADING DMCC,+971559386418,said@asaworldwide.net
 A &amp; A SYNERGY DMCC,+971567560353,ajayhalwasiya@gmail.com
 A &amp; A TECHNOLOGIES DMCC,+97144412268,faisal@aatechnologies.net
 A &amp; D INTERNATIONAL TRADING DMCC,+971507285246,andrea@and-dmcc.com
 A &amp; M INTERNATIONAL DMCC,+971561491532,aehamshaheen008@gmail.com
 A 1 CONSULTANCY SERVICES DMCC,+971528869360,a1.jlt.dubai@gmail.com
 A AND J DMCC, , 
 A CEUTICALS DMCC, , 
 A DIGITAL COM DMCC, , 
 A GEM STAR DMCC,+97144219251,agemstardmcc@gmail.com
 A GLOBAL BRIGHT DMCC,+971543551368,ffengyekai@163.com
 A M K BROKERS DMCC, , 
 A R HOURIE ENTERPRISES GULF DMCC, , 
 A R IMPEX DMCC,+971558794024,arimpexdmcc@hotmail.com
 A R J CONSULTING DMCC, , 
 A SWEET SPOT DMCC, , 
 A V PALACE DMCC,+97144541668,anand@calculus.ae
 A&amp;A COMPANY FORMATIONS DMCC,+971507561969,sohail@aacompanyformations.com
 A&amp;B ROYAL GOLD DMCC,+97144541668,anand@calculus.ae
 A&amp;T CONSULTANCY DMCC, , 
 A-CONNECT MIDDLE EAST DMCC,+97143780604,info@a-connect.com
 A-LINE TRADING DMCC, , 
 A-SOLUTIONS DMCC,+971528890569,dkl@a-solutions.dk
 A. N. ASSOCIATES DMCC,+97142284452,yfakhri@anassociates.org
 A.J. POWER LIMITED (DMCC BRANCH), , 
 A.R. AGROCHEM DMCC, , 
 A1 FENCE DMCC, , 
 A2Z ORGANIC FERTILIZER SOLUTIONS DMCC, , 
 A2Z WASTE MANAGEMENT SOLUTIONS DMCC,+971509957969,g.kaawani@tadweer.com
 A3 LEARNING CENTER DMCC, , 
 A3M TRADING DMCC,+97143300101,info@a3mtrading.com
 AA BOND ENTERPRISES DMCC, , 
 AAA GLOBAL SERVICES DMCC, , 
 AAA RENT A CAR DMCC,+971503523155,aaacars.magd@yahoo.com
 AAA SERVICES DMCC, , 
 AAAGENCY DMCC,+97145546850,jaafar@aaagency.ae
 AABHA INTERNATIONAL DMCC, , 
 AADHYAA INTERNATIONAL DMCC, , 
 AADI DIAM DMCC,+9714NA,aadidiam@gmail.com
 AADI DIVINE JEWELS DMCC, , 
 AADIAM DMCC, , 
 AAHYAN DMCC, , 
 AAIS ARABIA DMCC, , 
 AAL SHIPPING DMCC, , 
 AANAB TRADING DMCC, , 
 AANYA GEMS DMCC,+971544755580,aanyadmcc@gmail.com
 AAP CONSULTING SERVICES DMCC, , 
 AARAS DIAM DMCC, , 
 AARESS DISTRIBUTION DMCC, , 
 AARIMA CONSULTING SERVICES DMCC, , 
 AARIT TRADING DMCC,+971505058135,ssujal68@gmail.com
 AARKAA CONSULTANCY SERVICES DMCC, , 
 AARNA INTERNATIONAL DMCC,+971568885546,goutam@avontrade.net
 AARO MIDDLE EAST DMCC,+97144508754,ryeomans@yeomansexecutive.com
 AAROHI DIAM DMCC, , 
 AARTEE DISTRIBUTION SOLUTIONS DMCC, , 
 AARTI PROJECT MANAGEMENT CONSULTANCY DMCC,+971556528352,aswani@eim.ae
 AARVEES GROUP DMCC, , 
 AARZEE JEWELLERY DMCC,+97143688756,zubair@aarzee.net
 AARZEE JEWELLERY DMCC,+97143688756,zubair@aarzee.net
 AAVISHKAR DMCC,+97144534558,info@aavishkarjlt.com
 AAYAN TRADING DMCC, , 
 AAYAT DMCC, , 
 AB DIAMONDS DMCC,+9719714289488,admin@panisnshah.com
 AB GLOBAL TRADING DMCC, , 
 ABACUS CHEMIE DMCC, , 
 ABACUS TAX ADVISERS &amp; ACCOUNTANTS DMCC,+97145613741,info@abacusdubai.ae
 ABANS GLOBAL TRADING DMCC, , 
 ABANS MIDDLE EAST DMCC,+971507350841,admin@abansdmcc.com
 ABASIA PETROTECH DMCC,+97144529802,sarmad.jawad@srg-iq.com
 ABBARCI GENERAL TRADING DMCC, , 
 ABBO GOLD DMCC,+97144233688,hr_srour@hotmail.com
 ABC BOUTIQUE DMCC, , 
 ABC SOLUTIONS DMCC, , 
 ABCO INTERNATIONAL SHIPPING &amp; LOGISTICS DMCC, , 
 ABD INTERNATIONAL CONSULTANCY DMCC, , 
 ABDA CARGO SERVICES DMCC,+97144531865,jane.misquith@leisurecargo.ae
 ABDUL LATIF JAMEEL INTERNATIONAL DMCC, , 
 ABF LEATHERS INTERNATIONAL DMCC, , 
 ABHAY GEMS DMCC, , 
 ABHIRAJ INTERNATIONAL DMCC, , 
 ABILITY WITH INNOVATION GENERAL CONTRACTING (DMCC BRANCH), , 
 ABLC DMCC, , 
 ABLE POLYMERS AND CHEMICALS DMCC, , 
 ABN AMRO BANK N.V. (BRANCH), , 
 ABO GROUP DMCC,+971509616575,info.support@qsf-corp.com
 ABOU KASEM JEWELLERY DMCC, , 
 ABOUELDAHAB SFO DMCC, , 
 ABOUT THE SOLUTION DMCC,+97145147898,kmahfouz@aboutthesolution.com
 ABR ALBEHAR DMCC, , 
 ABROAD SPECTRUM TRADING DMCC, , 
 ABS COMMODITY TRADING  COMPANY DMCC, , 
 ABS INSUFLEX DMCC,+97144428948,admin@panisnshah.com
 ABS MARKETING SERVICES DMCC,+971525986060,amokarram@aliaxis.com
 ABSEA TOURS DMCC, , 
 ABSEN MIDDLE EAST DMCC,+971522581611,eric@absen.com
 ABSOLUTDATA ANALYTICS MIDDLE EAST DMCC,+9198132270,suhale@absolutdata.com
 ABSOLUTE RENT A CAR DMCC,+971504663694,info@abrc.ae
 ABSOLUTELY DIGITAL DMCC,+97142956752,business@absolutelydigital.net
 ABSOLUX INTL DMCC, , 
 ABSTRACT WORLDWIDE LLC (DMCC BRANCH),+971558034003,contact@abstractworldwide.com
 ABTACH DMCC, , 
 ABU DHABI COMMERCIAL BANK (DMCC BRANCH),+971505956590,leasing.csd@adcb.com
 ABU ERDAN DMCC, , 
 ABURI INTERNATIONAL DMCC,+971505580684,sunil@aburicomposites.com
 ABWAB ADVISORS DMCC,+971501003147,kumara@abwabcapital.com
 ABWEB CONSULTING DMCC,+9715611642,t.alami@abweb.biz
 ABYAN-ME DMCC,+971558968936,adel.salman79@gmail.com
 ABYDOS MIDDLE EAST DMCC,+97143999787,sales@abydosgroup.com
 ABZER DMCC,+97142429200,info@abzer.com
 AC BUSINESS EXPERTS DMCC,+97142697817,darya@alpha-offshore.com
 AC MANAGEMENT CONSULTING DMCC, , 
 ACACIA ENTERPRISE DMCC, , 
 ACACIA GROUP SFO DMCC,+97148886858,fayaz@acaciagroupsfo.com
 ACACIA INTERNATIONAL DMCC, , 
 ACAP ADVISORY MENA DMCC, , 
 ACCELY SOLUTIONS DMCC,+971527694007,info@accely.com
 ACCENTIS ADVISORY DMCC, , 
 ACCESS AND COATING GROUP DMCC, , 
 ACCESS CONSULTANTS DMCC, , 
